"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*01fhm*","Martin Perez","ATL","SP,RP","391","FA","35","TOR Wed 7:15PM","54.05","4.5","39%","-4%"
"*04si2*","Andrew Vaughn","MIL","1B","397","FA","28","SF Wed 7:40PM","54","2.57","62%","-2%"
"*05rko*","Brandon Valenzuela","TOR","C","396","FA","25","@ATL Wed 7:15PM","54","1.38","16%","-2%"
"*031b3*","Isiah Kiner-Falefa","BOS","2B,3B,SS","394","FA","31","BAL Wed 6:45PM","54","1.59","15%","-1%"
"*05145*","Darell Hernaiz","ATH","2B,3B,SS","393","FA","24","@CHC Wed 8:05PM","54","1.23","10%","-1%"
"*03qqb*","Myles Straw","TOR","OF","395","FA","31","@ATL Wed 7:15PM","54","1.04","5%","0%"
"*01s9c*","Randal Grichuk","CHW","OF,UT","392","FA","34","@MIN Wed 1:40PM","54","1.46","5%","-1%"
"*04prt*","Lawrence Butler","ATH","OF","400","FA","25","@CHC Wed 8:05PM","53","0.98","61%","-5%"
"*0311f*","Victor Caratini","MIN","C,1B","401","FA","32","CHW Wed 1:40PM","53","1.2","15%","-2%"
"*05jq3*","Joey Wiemer","WSH","OF","402","FA","27","MIA Wed 1:05PM","53","1.66","15%","-1%"
"*04z8z*","Yohendrick Pinango","TOR","OF","405","FA","24","@ATL Wed 7:15PM","52","1.73","17%","-1%"
"*05a1t*","Jorbit Vivas","WSH","2B,3B","406","FA","25","MIA Wed 1:05PM","52","1.11","6%","0%"
"*05gx0*","Nick Loftin","KC","2B,3B,OF","404","FA","27","@CIN Wed 7:10PM","52","1.73","4%","0%"
"*03svw*","Bryan Hudson","CHW","SP,RP","407","FA","29","@MIN Wed 1:40PM","51.46","1.77","16%","-1%"
"*03aac*","Walker Buehler","SD","SP","409","FA","31","@PHI Wed 6:40PM","51.05","4.64","32%","-2%"
"*025i9*","J.T. Realmuto","PHI","C","412","FA","35","SD Wed 6:40PM","51","1.31","51%","-3%"
"*03pix*","Tyler Stephenson","CIN","C","413","FA","29","KC Wed 7:10PM","51","1.06","34%","-1%"
"*05oxc*","Henry Davis","PIT","C","411","FA","26","@HOU Wed 8:10PM","51","1.24","11%","0%"
"*041qv*","Alex Call","LAD","OF","410","FA","31","@ARI Wed 9:40PM","51","1.7","6%","0%"
"*05jpd*","Ian Seymour","TB","SP,RP","415","FA","27","DET Wed 1:10PM","50.23","1.93","57%","-2%"
"*045gu*","TJ Friedl","CIN","OF","417","FA","30","KC Wed 7:10PM","50","1.06","40%","-3%"
"*03xs3*","Miguel Amaya","CHC","C","416","FA","27","ATH Wed 8:05PM","50","1.47","15%","-1%"
"*05r3s*","Alejandro Osuna","TEX","OF","419","FA","23","@STL Wed 7:45PM","50","1.39","8%","-1%"
"*02bqh*","Trevor Story","BOS","SS","423","FA","33","BAL Wed 6:45PM","48","1.17","62%","-3%"
"*01uc9*","Nick Castellanos","SD","OF","421","FA","34","@PHI Wed 6:40PM","48","1.23","26%","-1%"
"*02zpf*","Edmundo Sosa","PHI","2B,3B","422","FA","30","SD Wed 6:40PM","48","1.45","8%","0%"
"*04pxo*","Erik Sabrowski","CLE","RP","424","FA","28","@NYY Wed 7:05PM","47.93","1.92","57%","-4%"
"*02c2h*","Chris Bassitt","BAL","SP","425","FA","37","@BOS Wed 6:45PM","47.6","4.33","45%","-2%"
"*04pvl*","Mike Burrows","HOU","SP","426","FA","26","PIT Wed 8:10PM","47.55","3.96","53%","-1%"
